,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,season,Team Code,Player Code,Next Pts,player_year,Pts corr,Adj Pts corr,Pts diff,pts_year,Missing_Prev_Year,Total_Games_Played,Avg_Games_Per_Year,Change_Games_Played,Significant_Drop_Games_Played,Overall_Injury_Metric,Normalized_Injury_Metric
1007,Austin Reaves,SG,0.23076923076923084,LAL,0.75,0.26506024096385544,0.6590389016018307,0.31496062992125984,0.27697841726618705,0.529,0.24528301886792456,0.25757575757575757,0.398,0.22314049586776863,0.18376068376068375,0.631,0.4106666666666666,0.3529411764705883,0.3129770992366412,0.864,0.07352941176470588,0.2032520325203252,0.16042780748663102,0.23943661971830987,0.16666666666666666,0.06666666666666667,0.2631578947368421,0.2833333333333333,0.3601108033240997,2023,Los Angeles Lakers,0.5454545454545454,0.4761904761904762,0.5331632653061225,0.08928571428571427,0.9097938144329896,0.7004219409282699,0.570619335347432,2022-2023,14,197,,1,1.0,-0.0,1.7808219178082194,1.3194428919541257,0,1.4642857142857144,0.7321428571428572,0.0357142857142857,0,0.23035714285714284,0.14322292960346972
1018,Austin Rivers,SG,0.4615384615384617,MIN,0.6071428571428572,0.12048192771084337,0.4462242562929062,0.14173228346456693,0.14388489208633093,0.435,0.15094339622641512,0.18181818181818182,0.35,0.0743801652892562,0.07264957264957266,0.558,0.3586666666666667,0.05882352941176471,0.06106870229007634,0.769,0.014705882352941178,0.12195121951219512,0.08556149732620322,0.09859154929577464,0.16666666666666666,0.022222222222222223,0.07017543859649122,0.25,0.13573407202216067,2023,Minnesota Timberwolves,0.5303030303030303,0.49206349206349204,0.5178571428571428,0.19642857142857142,0.8737113402061851,0.683544303797468,0.5460725075528701,2022-2023,18,198,,10,-0.1530204319179538,172.25927349454747,0.8166666666666668,0.497328474659632,0,8.285714285714286,0.7532467532467533,-0.1785714285714285,0,0.8503246753246756,0.44256712622255523
1052,Ayo Dosunmu,SG,0.1923076923076924,CHI,0.9404761904761905,0.6144578313253012,0.5995423340961098,0.2755905511811024,0.2553956834532374,0.493,0.1320754716981132,0.18181818181818182,0.312,0.23140495867768593,0.20512820512820512,0.583,0.36333333333333334,0.07843137254901962,0.07633587786259542,0.805,0.08823529411764706,0.17886178861788618,0.1497326203208556,0.18309859154929578,0.26666666666666666,0.06666666666666667,0.21052631578947367,0.3833333333333333,0.2382271468144044,2023,Chicago Bulls,0.5,0.5238095238095237,0.4872448979591837,0.3214285714285714,0.804123711340206,0.5991561181434597,0.6061178247734139,2022-2023,5,203,,1,-0.9999999999999974,7218.499999999982,0.9772727272727272,0.8728622208311907,0,1.8452380952380953,0.9226190476190477,0.0357142857142857,0,0.28750000000000003,0.17081370132641244
1071,Bam Adebayo,C,0.2692307692307693,MIA,0.8809523809523809,0.9036144578313253,0.7917620137299771,0.6299212598425197,0.5359712230215827,0.54,0.0,0.015151515151515152,0.083,0.6611570247933884,0.6282051282051282,0.545,0.3606666666666667,0.42156862745098045,0.4122137404580153,0.806,0.36764705882352944,0.5447154471544715,0.4919786096256684,0.22535211267605637,0.39999999999999997,0.17777777777777778,0.43859649122807015,0.4666666666666666,0.5650969529085872,2023,Miami Heat,0.5606060606060607,0.4603174603174603,0.5497448979591837,0.0,0.7113402061855667,0.5569620253164556,0.5494712990936556,2022-2023,16,207,,5,0.9437665229586546,-0.0,1.0680628272251307,2.070510384297243,0,4.904761904761905,0.8174603174603176,0.22619047619047616,0,0.6400793650793651,0.3410525949085969
1118,Ben Simmons,PG,0.3076923076923077,BRK,0.4880952380952381,0.39759036144578314,0.6018306636155606,0.25196850393700787,0.20143884892086328,0.566,0.0,0.0,0.0,0.2644628099173554,0.23504273504273504,0.571,0.3773333333333333,0.05882352941176471,0.10687022900763359,0.439,0.14705882352941177,0.4308943089430894,0.3368983957219251,0.4295774647887324,0.43333333333333335,0.13333333333333333,0.4035087719298245,0.5499999999999999,0.19113573407202217,2023,Brooklyn Nets,0.5757575757575758,0.44444444444444436,0.5650510204081632,0.21428571428571427,0.8118556701030926,0.6139240506329111,0.5932779456193353,2022-2023,2,219,,4,-0.7829262712544958,2036.2346462786927,0.48251748251748255,0.7003196888064206,1,3.7142857142857144,0.7428571428571429,-0.19047619047619052,0,0.5885714285714285,0.3161825798416666
1230,Bismack Biyombo,C,0.4615384615384617,PHO,0.7142857142857143,0.16867469879518074,0.32723112128146453,0.15748031496062992,0.12230215827338128,0.578,0.0,0.0,0.0,0.1652892561983471,0.1452991452991453,0.578,0.3853333333333333,0.03921568627450981,0.08396946564885498,0.357,0.22058823529411764,0.22764227642276422,0.2299465240641711,0.06338028169014084,0.09999999999999999,0.31111111111111106,0.14035087719298245,0.31666666666666665,0.1191135734072022,2023,Phoenix Suns,0.5757575757575758,0.44444444444444436,0.5650510204081632,0.05357142857142857,0.8170103092783503,0.5949367088607591,0.6329305135951662,2022-2023,27,238,,11,0.2664906838938091,-294.9829795134555,0.7413793103448275,0.43643111041559535,0,9.369047619047619,0.7807539682539683,0.29761904761904767,0,1.1042658730158732,0.5651797145121538
1257,Blake Griffin,C,0.5769230769230771,BOS,0.47619047619047616,0.1927710843373494,0.3180778032036613,0.11811023622047244,0.11510791366906475,0.485,0.11320754716981132,0.12121212121212122,0.348,0.08264462809917356,0.06837606837606838,0.625,0.38199999999999995,0.04901960784313726,0.06106870229007634,0.656,0.16176470588235295,0.21138211382113822,0.2032085561497326,0.1056338028169014,0.09999999999999999,0.044444444444444446,0.08771929824561403,0.3,0.11357340720221605,2023,Boston Celtics,0.7575757575757576,0.25396825396825395,0.7512755102040816,0.0,0.9278350515463916,0.590717299578059,0.7953172205438066,2022-2023,1,242,,12,-0.7344076750618944,734.1817034695678,0.6406249999999999,0.41613198900091647,0,8.952380952380953,0.6886446886446886,-0.1785714285714286,0,0.9105311355311355,0.4716371234691054
1313,Boban Marjanović,C,0.6153846153846154,HOU,0.3571428571428571,0.0,0.12585812356979403,0.10236220472440945,0.06834532374100719,0.683,0.0,0.0,0.0,0.10743801652892562,0.0811965811965812,0.695,0.45533333333333337,0.05882352941176471,0.06870229007633588,0.741,0.08823529411764706,0.10569105691056911,0.1016042780748663,0.02112676056338028,0.06666666666666667,0.022222222222222223,0.08771929824561403,0.049999999999999996,0.09141274238227146,2023,Houston Rockets,0.2272727272727273,0.8095238095238095,0.2066326530612245,0.5178571428571428,0.7422680412371134,0.7426160337552741,0.2666163141993958,2022-2023,11,252,,7,-0.5904944263703786,958.8891366221986,0.7674418604651163,0.33493550334220107,0,3.6785714285714284,0.45982142857142855,0.09523809523809523,0,0.4424107142857143,0.24561055904407733
1353,Bobby Portis,PF,0.34615384615384626,MIL,0.8214285714285714,0.26506024096385544,0.5949656750572082,0.4488188976377953,0.4136690647482014,0.496,0.2641509433962264,0.28030303030303033,0.37,0.35537190082644626,0.3333333333333333,0.555,0.37,0.13725490196078433,0.13740458015267176,0.768,0.3235294117647059,0.6016260162601627,0.5133689839572192,0.1056338028169014,0.13333333333333333,0.044444444444444446,0.21052631578947367,0.26666666666666666,0.39058171745152354,2023,Milwaukee Bucks,0.7727272727272727,0.23809523809523808,0.7665816326530611,0.0,0.902061855670103,0.630801687763713,0.6907099697885196,2022-2023,17,258,,7,0.7261191840924361,-1289.315376254132,0.9657534246575343,1.4310880597348592,0,6.130952380952381,0.7663690476190477,-0.023809523809523836,0,0.6825892857142858,0.36157802144207074
1369,Bogdan Bogdanović,SG,0.4615384615384617,ATL,0.6309523809523809,0.10843373493975904,0.6384439359267734,0.40157480314960625,0.4064748201438849,0.447,0.509433962264151,0.5075757575757576,0.406,0.19834710743801653,0.19658119658119658,0.506,0.3773333333333333,0.11764705882352942,0.10687022900763359,0.831,0.05882352941176471,0.21138211382113822,0.1657754010695187,0.19718309859154928,0.26666666666666666,0.06666666666666667,0.21052631578947367,0.26666666666666666,0.38781163434903043,2023,Atlanta Hawks,0.5151515151515151,0.5079365079365079,0.5025510204081632,0.05357142857142857,0.9407216494845358,0.7320675105485228,0.5664652567975831,2022-2023,0,260,,5,0.5281569582958959,-1235.5351777735327,0.9271523178807946,1.4209384990275198,0,4.333333333333333,0.7222222222222222,-0.1071428571428572,0,0.4734126984126984,0.26057951071668073
1378,Bojan Bogdanović,PF,0.5769230769230771,DET,0.6904761904761905,0.710843373493976,0.7345537757437071,0.5748031496062992,0.5359712230215827,0.488,0.4716981132075472,0.4545454545454546,0.411,0.39669421487603307,0.38461538461538464,0.539,0.37999999999999995,0.44117647058823534,0.3893129770992366,0.884,0.08823529411764706,0.2601626016260163,0.2032085561497326,0.18309859154929578,0.19999999999999998,0.022222222222222223,0.4035087719298245,0.31666666666666665,0.5983379501385042,2023,Detroit Pistons,0.1515151515151515,0.8888888888888888,0.1288265306122449,0.7321428571428571,0.7319587628865976,0.740506329113924,0.2624622356495468,2022-2023,9,261,,8,0.9169445226354047,-0.0,1.1933701657458564,2.192305112785317,0,7.773809523809524,0.8637566137566137,-0.11904761904761907,0,0.828042328042328,0.43180835096948006
1382,Bol Bol,PF,0.1923076923076924,ORL,0.8214285714285714,0.39759036144578314,0.49199084668192217,0.2913385826771654,0.24460431654676257,0.546,0.07547169811320756,0.12121212121212122,0.265,0.2727272727272727,0.22222222222222224,0.633,0.3846666666666666,0.11764705882352942,0.11450381679389313,0.759,0.14705882352941177,0.39024390243902435,0.3101604278074866,0.07042253521126761,0.13333333333333333,0.26666666666666666,0.2807017543859649,0.21666666666666667,0.2520775623268698,2023,Orlando Magic,0.40909090909090906,0.6190476190476191,0.39413265306122447,0.17857142857142855,0.7603092783505154,0.6455696202531644,0.4641238670694864,2022-2023,25,262,,3,0.4123219991663573,-0.0,3.791666666666667,0.9236100243678879,0,1.4166666666666665,0.35416666666666663,0.6666666666666666,0,0.3770833333333333,0.21406798407956734
